gp,postcode,nhs_url
Regency Road Surgery,LE14 3YL,https://www.nhs.uk/services/gp-surgery/regency-road-surgery/C82038001
Long Clawson Medical Practice,LE14 4PA,https://www.nhs.uk/services/gp-surgery/long-clawson-medical-practice/C82016
Latham House Medical Practice,LE13 1NX,https://www.nhs.uk/services/gp-surgery/latham-house-medical-practice/C82038
The Welby Practice (Waltham),LE14 4AB,https://www.nhs.uk/services/gp-surgery/the-welby-practice-waltham/C82076002
Stackyard and Woolsthorpe Surgery,NG32 1QS,https://www.nhs.uk/services/gp-surgery/stackyard-and-woolsthorpe-surgery/C83653
Cropwell Bishop Surgery,NG12 3BU,https://www.nhs.uk/services/gp-surgery/cropwell-bishop-surgery/C84017003
Keyworth Medical Practice,NG12 5JU,https://www.nhs.uk/services/gp-surgery/keyworth-medical-practice/L7T0M
Dr MK Lakhani's Practice,LE12 7UD,https://www.nhs.uk/services/gp-surgery/dr-mk-lakhani-s-practice/C82644
The Banks Surgery,LE12 7RD,https://www.nhs.uk/services/gp-surgery/the-banks-surgery/C82600
Cotgrave Surgery,NG12 3UQ,https://www.nhs.uk/services/gp-surgery/cotgrave-surgery/C84017001
Great Witley Surgery,WR6 6HR,https://www.nhs.uk/services/gp-surgery/great-witley-surgery/M81033
The Village Hall,WR6 6DN,https://www.nhs.uk/services/gp-surgery/the-village-hall/M81045001
Stourport Medical Centre,DY13 0AA,https://www.nhs.uk/services/gp-surgery/stourport-medical-centre/M81040
Martley Surgery,WR6 6QZ,https://www.nhs.uk/services/gp-surgery/martley-surgery/M81033001
Bewdley Medical Centre,DY12 2EG,https://www.nhs.uk/services/gp-surgery/bewdley-medical-centre/M81057
Ombersley Medical Centre,WR9 0EL,https://www.nhs.uk/services/gp-surgery/ombersley-medical-centre/M81011
Grey Gable Surgery,WR7 4BW,https://www.nhs.uk/services/gp-surgery/grey-gable-surgery/Y03602
Merstow Green Medical Practice,WR11 4BS,https://www.nhs.uk/services/gp-surgery/merstow-green-medical-practice/M81058
Cleobury Mortimer Surgery,DY14 8DB,https://www.nhs.uk/services/gp-surgery/cleobury-mortimer-surgery/M82041
Northumberland House Surgery,DY11 6SF,https://www.nhs.uk/services/gp-surgery/northumberland-house-surgery/M81005
Aylmer Lodge Cookley Partnership,DY11 6SF,https://www.nhs.uk/services/gp-surgery/aylmer-lodge-cookley-partnership/M81068
Knightwick Surgery,WR6 5PH,https://www.nhs.uk/services/gp-surgery/knightwick-surgery/M81045
Abbey Medical Practice,WR11 4BS,https://www.nhs.uk/services/gp-surgery/abbey-medical-practice/M81094
Demontfort Medical Centre,WR11 3HD,https://www.nhs.uk/services/gp-surgery/demontfort-medical-centre/M81627
Pershore Medical Practice,WR10 1PX,https://www.nhs.uk/services/gp-surgery/pershore-medical-practice/M81074
Riverside Surgery,WR11 1JP,https://www.nhs.uk/services/gp-surgery/riverside-surgery/M81004
Abbottswood Medical Centre,WR10 1HZ,https://www.nhs.uk/services/gp-surgery/abbottswood-medical-centre/M81046
Templecombe Surgery,BA8 0JR,https://www.nhs.uk/services/gp-surgery/templecombe-surgery/L85031001
Milborne Port Surgery,DT9 5FH,https://www.nhs.uk/services/gp-surgery/milborne-port-surgery/L85031
Wincanton Health Centre,BA9 9FQ,https://www.nhs.uk/services/gp-surgery/wincanton-health-centre/L85027
Feckenham Surgery,B96 6HS,https://www.nhs.uk/services/gp-surgery/feckenham-surgery/M81077001
The Arrow Surgery,B49 6QR,https://www.nhs.uk/services/gp-surgery/the-arrow-surgery/M84060
Alcester Health Centre,B49 6QR,https://www.nhs.uk/services/gp-surgery/alcester-health-centre/M84049
The Blackmore Vale Partnership,DT10 1PU,https://www.nhs.uk/services/gp-surgery/blackmore-vale-partnership/J81620
The Grove Medical Centre,DT9 4DL,https://www.nhs.uk/services/gp-surgery/the-grove-medical-centre/J81078
The Apples Medical Centre,DT9 3DG,https://www.nhs.uk/services/gp-surgery/the-apples-medical-centre/J81029
Sherborne School Health Centre,DT9 3NX,https://www.nhs.uk/services/gp-surgery/sherborne-school-health-centre/J81017001
Peacemarsh Surgery,SP8 4FA,https://www.nhs.uk/services/gp-surgery/peacemarsh-surgery/J81081001
The County Practice,LE7 2EQ,https://www.nhs.uk/services/gp-surgery/the-county-practice/C82042
Market Overton and Somerby Surgeries,LE14 2QF,https://www.nhs.uk/services/gp-surgery/market-overton-and-somerby-surgeries/C82649001
The Jubilee Medical Practice,LE7 2EQ,https://www.nhs.uk/services/gp-surgery/the-jubilee-medical-practice/C82078
The Church Street Practice,DY10 2JG,https://www.nhs.uk/services/gp-surgery/the-church-street-practice/M81056
Silton Surgery,SP8 5DF,https://www.nhs.uk/services/gp-surgery/silton-surgery/J83629
Gillingham Medical Practice,SP8 4XS,https://www.nhs.uk/services/gp-surgery/gillingham-medical-practice/J81081
Barrow Health Centre,LE12 8PY,https://www.nhs.uk/services/gp-surgery/barrow-health-centre/C82062
Charnwood Surgery,LE12 7DJ,https://www.nhs.uk/services/gp-surgery/charnwood-surgery/C82097
Alpine House Surgery,LE12 7JU,https://www.nhs.uk/services/gp-surgery/alpine-house-surgery/C82095
Quorn Medical Centre,LE12 8BP,https://www.nhs.uk/services/gp-surgery/quorn-medical-centre/C82034
Hulton House Surgery,ST2 8DA,https://www.nhs.uk/services/gp-surgery/hulton-house-surgery/M83123001
East Leake,LE12 6PF,https://www.nhs.uk/services/gp-surgery/east-leake/C84005003
Village Health Group,LE12 6JG,https://www.nhs.uk/services/gp-surgery/village-health-group/C84005
Belvoir Health Group,NG13 8FD,https://www.nhs.uk/services/gp-surgery/belvoir-health-group/C84017
Birches Head Medical Ctr.,ST1 6RS,https://www.nhs.uk/services/gp-surgery/birches-head-medical-ctr/M83123
Potteries Medical Centre,ST2 0JG,https://www.nhs.uk/services/gp-surgery/potteries-medical-centre/M83102
Millrise Medical Practice,ST2 7BW,https://www.nhs.uk/services/gp-surgery/millrise-medical-practice/M83061
Prima Care Surgeries,ST1 2BN,https://www.nhs.uk/services/gp-surgery/prima-care-surgeries/M83625002
Rowhedge Surgery,CO5 7HP,https://www.nhs.uk/services/gp-surgery/rowhedge-surgery/F81141
Malting Green Surgery,CO2 0JJ,https://www.nhs.uk/services/gp-surgery/malting-green-surgery/F81069004
The Moorcroft Medical Ctr,ST1 3NJ,https://www.nhs.uk/services/gp-surgery/the-moorcroft-medical-ctr/M83146
Cambridge House,ST2 0EU,https://www.nhs.uk/services/gp-surgery/cambridge-house/M83624
Wivenhoe Surgery,CO7 9BA,https://www.nhs.uk/services/gp-surgery/wivenhoe-surgery/F81028
Abbey Field Medical Centre,CO2 7UW,https://www.nhs.uk/services/gp-surgery/abbey-field-medical-centre/F81095
Wimpole Road Surgery,CO1 2DL,https://www.nhs.uk/services/gp-surgery/wimpole-road-surgery/F81042001
University Health Centre,CO4 3SQ,https://www.nhs.uk/services/gp-surgery/university-health-centre/F81141001
The Ridgeway Surgery,B96 6DS,https://www.nhs.uk/services/gp-surgery/the-ridgeway-surgery/M81077
Silloth Group Medical Practice,CA7 4AH,https://www.nhs.uk/services/gp-surgery/silloth-group-medical-practice/A82037
The Croft Surgery,CA7 5JH,https://www.nhs.uk/services/gp-surgery/the-croft-surgery/A82029
Wigton Group Medical Practice,CA7 9QD,https://www.nhs.uk/services/gp-surgery/wigton-group-medical-practice/A82045
Moss Green Surgery,ST2 0EU,https://www.nhs.uk/services/gp-surgery/moss-green-surgery/M83146001
Harley Street Medical Ctr,ST1 3RX,https://www.nhs.uk/services/gp-surgery/harley-street-medical-ctr/M83076
Creffield Medical Group,CO2 7GH,https://www.nhs.uk/services/gp-surgery/creffield-medical-group/F81115
Shrub End Surgery,CO3 4RY,https://www.nhs.uk/services/gp-surgery/shrub-end-surgery/F81042002
Ambrose Avenue Group Practice,CO3 4LN,https://www.nhs.uk/services/gp-surgery/ambrose-avenue-group-practice/F81067
West Mersea Surgery,CO5 8RA,https://www.nhs.uk/services/gp-surgery/west-mersea-surgery/F81012
Aspatria Medical Group,CA7 3HH,https://www.nhs.uk/services/gp-surgery/aspatria-medical-group/A82055
Caldbeck Surgery,CA7 8DS,https://www.nhs.uk/services/gp-surgery/caldbeck-surgery/A82014
Dalston Medical Group,CA5 7PZ,https://www.nhs.uk/services/gp-surgery/dalston-medical-group/A82022
Castlegate and Derwent Surgery,CA13 9HT,https://www.nhs.uk/services/gp-surgery/castlegate-and-derwent-surgery/A82021
Maryport Health Services,CA15 8EL,https://www.nhs.uk/services/gp-surgery/maryport-health-services/A82032
Eden Surgery,CM22 7HX,https://www.nhs.uk/services/gp-surgery/eden-surgery/F81004001
The Eden Surgeries,CM22 7EH,https://www.nhs.uk/services/gp-surgery/the-eden-surgeries/F81004
Ongar Health Centre,CM5 0AL,https://www.nhs.uk/services/gp-surgery/ongar-health-centre/F81049
Lakeside Medical,SE2 9LH,https://www.nhs.uk/services/gp-surgery/lakeside-medical/G83018
Abbey Wood Surgery,SE2 9AT,https://www.nhs.uk/services/gp-surgery/abbey-wood-surgery/G83031
Abbeyslade Pms (Dr Chand),SE2 0ER,https://www.nhs.uk/services/gp-surgery/abbeyslade-pms-dr-chand/G83631
Withnell Health Centre,PR6 8UA,https://www.nhs.uk/services/gp-surgery/withnell-health-centre/P81010
Feniscowles Surgery,BB2 5EP,https://www.nhs.uk/services/gp-surgery/feniscowles-surgery/P81633001
Bentham Road Health Centre,BB2 4QD,https://www.nhs.uk/services/gp-surgery/bentham-road-health-centre/Y02657
Hollins Grove Surgery,BB3 1ET,https://www.nhs.uk/services/gp-surgery/hollins-grove-surgery/P81721
Kidderminster Medical Centre,DY10 2BG,https://www.nhs.uk/services/gp-surgery/kidderminster-medical-centre/M81010
Stanmore House Surgery,DY10 3AA,https://www.nhs.uk/services/gp-surgery/stanmore-house-surgery/M81015
Wolverley Surgery,DY11 5TH,https://www.nhs.uk/services/gp-surgery/wolverley-surgery/M81608
Morton Surgery,CA2 6DT,https://www.nhs.uk/services/gp-surgery/morton-surgery/A82654001
Central Surgery,CM21 9AQ,https://www.nhs.uk/services/gp-surgery/central-surgery/E82100
Old Harlow Health Centre,CM17 0AX,https://www.nhs.uk/services/gp-surgery/old-harlow-health-centre/F81056
Church Langley Medical Practice,CM17 9TG,https://www.nhs.uk/services/gp-surgery/church-langley-medical-practice/F81078
North Weald Surgery,CM16 6HZ,https://www.nhs.uk/services/gp-surgery/north-weald-surgery/F81043002
Gardens and Jacobs Medical Partnership,CM21 0HH,https://www.nhs.uk/services/gp-surgery/gardens-and-jacobs-medical-partnership/Y01924
Gallions Reach Health Centre,SE28 8BE,https://www.nhs.uk/services/gp-surgery/gallions-reach-health-centre/G83012
Bannockburn Surgery,SE18 1ES,https://www.nhs.uk/services/gp-surgery/bannockburn-surgery/G83654
Dr Mostafa M A,SE2 0NX,https://www.nhs.uk/services/gp-surgery/dr-mostafa-m-a/G83647001
Belvedere Medical Centre,DA17 5LQ,https://www.nhs.uk/services/gp-surgery/belvedere-medical-centre/G83052
Mostafa Pms,SE18 1SE,https://www.nhs.uk/services/gp-surgery/mostafa-pms/G83647
Bexley Medical Group,DA7 5RB,https://www.nhs.uk/services/gp-surgery/bexley-medical-group/G83053
Darwen Healthcare,BB3 1PY,https://www.nhs.uk/services/gp-surgery/darwen-healthcare/P81051
Darwen Healthlink,BB3 1PY,https://www.nhs.uk/services/gp-surgery/darwen-healthlink/P81140
Witton Medical Centre,BB2 2SU,https://www.nhs.uk/services/gp-surgery/witton-medical-centre/P81022
Spring-Fenisco Healthlink,BB3 1BZ,https://www.nhs.uk/services/gp-surgery/spring-fenisco-healthlink/P81633
Dr A Alam & Partner,BB3 2RJ,https://www.nhs.uk/services/gp-surgery/dr-a-alam-and-partner/P81683001
Tenbury Surgery,WR15 8AA,https://www.nhs.uk/services/gp-surgery/tenbury-surgery/M81042
Barbourne Health Centre,WR3 7LH,https://www.nhs.uk/services/gp-surgery/barbourne-health-centre/M81049
Thorneloe Lodge Surgery,WR1 1RU,https://www.nhs.uk/services/gp-surgery/thorneloe-lodge-surgery/M81037
Albany House Surgery,WR1 3DU,https://www.nhs.uk/services/gp-surgery/albany-house-surgery/M81072
St Johns House Surgery,WR2 5ER,https://www.nhs.uk/services/gp-surgery/st-johns-house-surgery/M81063
Carterknowle And Dore Medical Practice,S17 3NF,https://www.nhs.uk/services/gp-surgery/carterknowle-and-dore-medical-practice/C88016001
Avenue Medical Practice,S8 7FH,https://www.nhs.uk/services/gp-surgery/avenue-medical-practice/C88015003
Beauchief Medical Practice,S8 0BJ,https://www.nhs.uk/services/gp-surgery/beauchief-medical-practice/C88046
Bidford Health Centre,B50 4LX,https://www.nhs.uk/services/gp-surgery/bidford-health-centre/M84018
Pool Medical Centre,B80 7QU,https://www.nhs.uk/services/gp-surgery/pool-medical-centre/M84002
Crabbs Cross Medical Centre,B97 5JX,https://www.nhs.uk/services/gp-surgery/crabbs-cross-medical-centre/M81616
Golden Valley Practice,HR2 0EU,https://www.nhs.uk/services/gp-surgery/golden-valley-practice/M81009
The Surgery Kingstone,HR2 9HN,https://www.nhs.uk/services/gp-surgery/the-surgery-kingstone/M81067
Peterchurch Surgery,HR2 0RS,https://www.nhs.uk/services/gp-surgery/peterchurch-surgery/M81009001
Eden Medical Group,CA2 7AJ,https://www.nhs.uk/services/gp-surgery/eden-medical-group/A82020
Nuffield House Health Centre,CM20 3AX,https://www.nhs.uk/services/gp-surgery/nuffield-house-health-centre/F81120
Sydenham House Surgery,CM20 3NT,https://www.nhs.uk/services/gp-surgery/sydenham-house-surgery/F81619
Station Road Surgery,DA17 6JJ,https://www.nhs.uk/services/gp-surgery/station-road-surgery/G83028002
Redlam Surgery,BB2 1UW,https://www.nhs.uk/services/gp-surgery/redlam-surgery/P81061
Salters Medical Practice,WR9 8RD,https://www.nhs.uk/services/gp-surgery/salters-medical-practice/M81034
Ecclesall Medical Centre,S11 9JD,https://www.nhs.uk/services/gp-surgery/ecclesall-medical-centre/C88031001
Woodseats Medical Centre,S8 0SH,https://www.nhs.uk/services/gp-surgery/woodseats-medical-centre/C88041
Totley Rise Medical Centre,S17 4DQ,https://www.nhs.uk/services/gp-surgery/totley-rise-medical-centre/D7O7T
Carterknowle & Dore Medical Practice,S7 2DW,https://www.nhs.uk/services/gp-surgery/carterknowle-and-dore-medical-practice/C88016
Crabbs Cross Surgery,B97 5JX,https://www.nhs.uk/services/gp-surgery/crabbs-cross-surgery/M81617
Lyppard Grange Medical Centre,WR4 0DZ,https://www.nhs.uk/services/gp-surgery/lyppard-grange-medical-centre/M81006001
The Bridge Surgery,B97 4LA,https://www.nhs.uk/services/gp-surgery/the-bridge-surgery/M81092
Elbury Moor Medical Centre,WR4 9TX,https://www.nhs.uk/services/gp-surgery/elbury-moor-medical-centre/M81017
St Peter's Surgery,WR5 3TA,https://www.nhs.uk/services/gp-surgery/st-peter-s-surgery/M81035001
Much Birch Surgery,HR2 8HT,https://www.nhs.uk/services/gp-surgery/much-birch-surgery/M81024
Belmont Medical Centre,HR2 7XT,https://www.nhs.uk/services/gp-surgery/belmont-medical-centre/M81093
Credenhill Surgery,HR4 7EF,https://www.nhs.uk/services/gp-surgery/credenhill-surgery/M81026008
Quay House Medical Centre,HR4 0JF,https://www.nhs.uk/services/gp-surgery/quay-house-medical-centre/M81026005
Staunton-On-Wye Surgery,HR4 7LT,https://www.nhs.uk/services/gp-surgery/staunton-on-wye-surgery/M81018001
Queen Camel Medical Centre,BA22 7LT,https://www.nhs.uk/services/gp-surgery/queen-camel-medical-centre/L85044
Blackmore Vale Partnership,DT10 1QU,https://www.nhs.uk/services/gp-surgery/blackmore-vale-partnership/J81620
"Millbrook Surgery, Castle Cary",BA7 7EE,https://www.nhs.uk/services/gp-surgery/millbrook-surgery-castle-cary/L85040
"Baslow Rd, Shoreham St & York Rd Srgies",S17 4DR,https://www.nhs.uk/services/gp-surgery/baslow-rd-shoreham-st-and-york-rd-srgies/C88037
Falkland House Surgery,S11 7PL,https://www.nhs.uk/services/gp-surgery/falkland-house-surgery/C88053
Veritas Health Centre,S8 0RT,https://www.nhs.uk/services/gp-surgery/veritas-health-centre/C88631
Haresfield House Surgery,WR5 1HG,https://www.nhs.uk/services/gp-surgery/haresfield-house-surgery/M81022
South Wye Medical Centre,HR2 7JE,https://www.nhs.uk/services/gp-surgery/south-wye-medical-centre/M81026007
Bobblestock Surgery,HR4 9LP,https://www.nhs.uk/services/gp-surgery/bobblestock-surgery/M81026006
Bruton Surgery,BA10 0EG,https://www.nhs.uk/services/gp-surgery/bruton-surgery/L85032
