gp,nhs_url,postcode,state,url
Long Clawson Medical Practice,https://www.nhs.uk/services/gp-surgery/long-clawson-medical-practice/C82016,LE14 4PA,1,https://www.valemedicalgroup.co.uk
Latham House Medical Practice,https://www.nhs.uk/services/gp-surgery/latham-house-medical-practice/C82038,LE13 1NX,1,http://www.lhmp.co.uk
Cropwell Bishop Surgery,https://www.nhs.uk/services/gp-surgery/cropwell-bishop-surgery/C84017003,NG12 3BU,1,https://www.belvoirhealthgroup.co.uk
Regency Road Surgery,https://www.nhs.uk/services/gp-surgery/regency-road-surgery/C82038001,LE14 3YL,1,https://www.lhmp.co.uk
Keyworth Medical Practice,https://www.nhs.uk/services/gp-surgery/keyworth-medical-practice/L7T0M,NG12 5JU,0,
Dr MK Lakhani's Practice,https://www.nhs.uk/services/gp-surgery/dr-mk-lakhani-s-practice/C82644,LE12 7UD,1,http://www.highgatemedicalcentre.co.uk
The Banks Surgery,https://www.nhs.uk/services/gp-surgery/the-banks-surgery/C82600,LE12 7RD,1,http://www.thebankssurgery.co.uk/
The Welby Practice (Waltham),https://www.nhs.uk/services/gp-surgery/the-welby-practice-waltham/C82076002,LE14 4AB,1,http://www.thewelbypractice.co.uk
Cotgrave Surgery,https://www.nhs.uk/services/gp-surgery/cotgrave-surgery/C84017001,NG12 3UQ,1,https://www.belvoirhealthgroup.co.uk
Stackyard and Woolsthorpe Surgery,https://www.nhs.uk/services/gp-surgery/stackyard-and-woolsthorpe-surgery/C83653,NG32 1QS,1,https://www.valemedicalgroup.co.uk/
Great Witley Surgery,https://www.nhs.uk/services/gp-surgery/great-witley-surgery/M81033,WR6 6HR,1,https://www.greatwitleysurgery.nhs.uk
The Village Hall,https://www.nhs.uk/services/gp-surgery/the-village-hall/M81045001,WR6 6DN,0,
Martley Surgery,https://www.nhs.uk/services/gp-surgery/martley-surgery/M81033001,WR6 6QZ,0,
Stourport Medical Centre,https://www.nhs.uk/services/gp-surgery/stourport-medical-centre/M81040,DY13 0AA,1,https://www.stourportmc.co.uk/
Bewdley Medical Centre,https://www.nhs.uk/services/gp-surgery/bewdley-medical-centre/M81057,DY12 2EG,1,https://www.bewdleymedicalcentre.nhs.uk/
Ombersley Medical Centre,https://www.nhs.uk/services/gp-surgery/ombersley-medical-centre/M81011,WR9 0EL,1,http://www.ombersleymedicalcentre.co.uk
Grey Gable Surgery,https://www.nhs.uk/services/gp-surgery/grey-gable-surgery/Y03602,WR7 4BW,1,http://www.greygablesurgery.com
Merstow Green Medical Practice,https://www.nhs.uk/services/gp-surgery/merstow-green-medical-practice/M81058,WR11 4BS,1,http://www.merstowgreenmedicalpractice.co.uk/
Cleobury Mortimer Surgery,https://www.nhs.uk/services/gp-surgery/cleobury-mortimer-surgery/M82041,DY14 8DB,1,https://cleoburymortimermc.co.uk/
Northumberland House Surgery,https://www.nhs.uk/services/gp-surgery/northumberland-house-surgery/M81005,DY11 6SF,1,http://www.northumberlandhousesurgery.co.uk
Aylmer Lodge Cookley Partnership,https://www.nhs.uk/services/gp-surgery/aylmer-lodge-cookley-partnership/M81068,DY11 6SF,1,http://www.aylmerlodgecookleypartnership.co.uk
Knightwick Surgery,https://www.nhs.uk/services/gp-surgery/knightwick-surgery/M81045,WR6 5PH,1,http://www.knightwicksurgery.co.uk
Abbey Medical Practice,https://www.nhs.uk/services/gp-surgery/abbey-medical-practice/M81094,WR11 4BS,1,http://www.abbeymedical.com
Demontfort Medical Centre,https://www.nhs.uk/services/gp-surgery/demontfort-medical-centre/M81627,WR11 3HD,0,
