gp,nhs_url
Regency Road Surgery,https://www.nhs.uk/services/gp-surgery/regency-road-surgery/C82038001
Long Clawson Medical Practice,https://www.nhs.uk/services/gp-surgery/long-clawson-medical-practice/C82016
Latham House Medical Practice,https://www.nhs.uk/services/gp-surgery/latham-house-medical-practice/C82038
The Welby Practice (Waltham),https://www.nhs.uk/services/gp-surgery/the-welby-practice-waltham/C82076002
Stackyard and Woolsthorpe Surgery,https://www.nhs.uk/services/gp-surgery/stackyard-and-woolsthorpe-surgery/C83653
Cropwell Bishop Surgery,https://www.nhs.uk/services/gp-surgery/cropwell-bishop-surgery/C84017003
Keyworth Medical Practice,https://www.nhs.uk/services/gp-surgery/keyworth-medical-practice/L7T0M
Dr MK Lakhani's Practice,https://www.nhs.uk/services/gp-surgery/dr-mk-lakhani-s-practice/C82644
The Banks Surgery,https://www.nhs.uk/services/gp-surgery/the-banks-surgery/C82600
Cotgrave Surgery,https://www.nhs.uk/services/gp-surgery/cotgrave-surgery/C84017001
Great Witley Surgery,https://www.nhs.uk/services/gp-surgery/great-witley-surgery/M81033
The Village Hall,https://www.nhs.uk/services/gp-surgery/the-village-hall/M81045001
Stourport Medical Centre,https://www.nhs.uk/services/gp-surgery/stourport-medical-centre/M81040
Martley Surgery,https://www.nhs.uk/services/gp-surgery/martley-surgery/M81033001
Bewdley Medical Centre,https://www.nhs.uk/services/gp-surgery/bewdley-medical-centre/M81057
Ombersley Medical Centre,https://www.nhs.uk/services/gp-surgery/ombersley-medical-centre/M81011
Cleobury Mortimer Surgery,https://www.nhs.uk/services/gp-surgery/cleobury-mortimer-surgery/M82041
Northumberland House Surgery,https://www.nhs.uk/services/gp-surgery/northumberland-house-surgery/M81005
Grey Gable Surgery,https://www.nhs.uk/services/gp-surgery/grey-gable-surgery/Y03602
Merstow Green Medical Practice,https://www.nhs.uk/services/gp-surgery/merstow-green-medical-practice/M81058
Abbey Medical Practice,https://www.nhs.uk/services/gp-surgery/abbey-grange-medical-practice/B86068
Aylmer Lodge Cookley Partnership,https://www.nhs.uk/services/gp-surgery/aylmer-lodge-cookley-partnership/M81068
Knightwick Surgery,https://www.nhs.uk/services/gp-surgery/knightwick-surgery/M81045
Demontfort Medical Centre,https://www.nhs.uk/services/gp-surgery/demontfort-medical-centre/M81627
Pershore Medical Practice,https://www.nhs.uk/services/gp-surgery/pershore-medical-practice/M81074
Riverside Surgery,https://www.nhs.uk/services/gp-surgery/riverside-surgery/N85016
Abbottswood Medical Centre,https://www.nhs.uk/services/gp-surgery/abbottswood-medical-centre/M81046
Feckenham Surgery,https://www.nhs.uk/services/gp-surgery/feckenham-surgery/M81077001
Templecombe Surgery,https://www.nhs.uk/services/gp-surgery/templecombe-surgery/L85031001
Milborne Port Surgery,https://www.nhs.uk/services/gp-surgery/milborne-port-surgery/L85031
Wincanton Health Centre,https://www.nhs.uk/services/gp-surgery/wincanton-health-centre/L85027
The Blackmore Vale Partnership,https://www.nhs.uk/services/gp-surgery/blackmore-vale-partnership/J81620
The Arrow Surgery,https://www.nhs.uk/services/gp-surgery/the-arrow-surgery/M84060
Alcester Health Centre,https://www.nhs.uk/services/gp-surgery/alcester-health-centre/M84049
The Grove Medical Centre,https://www.nhs.uk/services/gp-surgery/the-grove-medical-practice/C85019
The Apples Medical Centre,https://www.nhs.uk/services/gp-surgery/the-apples-medical-centre/J81029
Sherborne School Health Centre,https://www.nhs.uk/services/gp-surgery/sherborne-school-health-centre/J81017001
Peacemarsh Surgery,https://www.nhs.uk/services/gp-surgery/peacemarsh-surgery/J81081001
Silton Surgery,https://www.nhs.uk/services/gp-surgery/silton-surgery/J83629
Gillingham Medical Practice,https://www.nhs.uk/services/gp-surgery/gillingham-medical-practice/J81081
The County Practice,https://www.nhs.uk/services/gp-surgery/the-county-practice/C82042
Market Overton and Somerby Surgeries,https://www.nhs.uk/services/gp-surgery/market-overton-and-somerby-surgeries/C82649
The Jubilee Medical Practice,https://www.nhs.uk/services/gp-surgery/jubilee-medical-centre/N82083
Barrow Health Centre,https://www.nhs.uk/services/gp-surgery/barrowford-health-centre/P81032001
Charnwood Surgery,https://www.nhs.uk/services/gp-surgery/charnwood-surgery/C82097
Alpine House Surgery,https://www.nhs.uk/services/gp-surgery/alpine-house-surgery/C82095
Quorn Medical Centre,https://www.nhs.uk/services/gp-surgery/quorn-medical-centre/C82034
East Leake,https://www.nhs.uk/services/gp-surgery/east-leake/C84005003
Village Health Group,https://www.nhs.uk/services/gp-surgery/village-health-group/C84005
Hulton House Surgery,https://www.nhs.uk/services/gp-surgery/hulton-house-surgery/M83123001
Birches Head Medical Ctr.,https://www.nhs.uk/services/gp-surgery/birches-head-medical-ctr/M83123
Potteries Medical Centre,https://www.nhs.uk/services/gp-surgery/potteries-medical-centre/M83102
Millrise Medical Practice,https://www.nhs.uk/services/gp-surgery/millrise-medical-practice/M83061
The Church Street Practice,https://www.nhs.uk/services/gp-surgery/the-church-street-practice/M81056
Belvoir Health Group,https://www.nhs.uk/services/gp-surgery/belvoir-health-group/C84017
Prima Care Surgeries,https://www.nhs.uk/services/gp-surgery/prima-care-surgeries/M83625002
The Moorcroft Medical Ctr,https://www.nhs.uk/services/gp-surgery/the-moorcroft-medical-ctr/M83146
Cambridge House,https://www.nhs.uk/services/gp-surgery/cambridge-house/M83624
Moss Green Surgery,https://www.nhs.uk/services/gp-surgery/moss-green-surgery/M83146001
Harley Street Medical Ctr,https://www.nhs.uk/services/gp-surgery/harley-street-medical-ctr/M83076
Silloth Group Medical Practice,https://www.nhs.uk/services/gp-surgery/silloth-group-medical-practice/A82037
The Croft Surgery,https://www.nhs.uk/services/gp-surgery/the-croft-surgery/A82029
Wigton Group Medical Practice,https://www.nhs.uk/services/gp-surgery/wigton-group-medical-practice/A82045
Eden Surgery,https://www.nhs.uk/services/gp-surgery/eden-surgery/C81604
The Eden Surgeries,https://www.nhs.uk/services/gp-surgery/the-eden-surgeries/F81004
Ongar Health Centre,https://www.nhs.uk/services/gp-surgery/ongar-health-centre/F81049
Rowhedge Surgery,https://www.nhs.uk/services/gp-surgery/rowhedge-surgery/F81141
Malting Green Surgery,https://www.nhs.uk/services/gp-surgery/malting-green-surgery/F81069004
Wivenhoe Surgery,https://www.nhs.uk/services/gp-surgery/wivenhoe-surgery/F81028
Abbey Field Medical Centre,https://www.nhs.uk/services/gp-surgery/abbey-field-medical-centre/F81095
The Ridgeway Surgery,https://www.nhs.uk/services/gp-surgery/the-ridgeway-surgery/E84068
Aspatria Medical Group,https://www.nhs.uk/services/gp-surgery/aspatria-medical-group/A82055
Caldbeck Surgery,https://www.nhs.uk/services/gp-surgery/caldbeck-surgery/A82014
Dalston Medical Group,https://www.nhs.uk/services/gp-surgery/dalston-medical-group/A82022
Castlegate and Derwent Surgery,https://www.nhs.uk/services/gp-surgery/castlegate-and-derwent-surgery/A82021
Maryport Health Services,https://www.nhs.uk/services/gp-surgery/maryport-health-services/A82032
Central Surgery,https://www.nhs.uk/services/gp-surgery/central-surgery/N83027
Old Harlow Health Centre,https://www.nhs.uk/services/gp-surgery/old-harlow-health-centre/F81056
Church Langley Medical Practice,https://www.nhs.uk/services/gp-surgery/church-langley-medical-practice/F81078
North Weald Surgery,https://www.nhs.uk/services/gp-surgery/north-weald-surgery/F81043002
Gardens and Jacobs Medical Partnership,https://www.nhs.uk/services/gp-surgery/gardens-and-jacobs-medical-partnership/Y01924
Wimpole Road Surgery,https://www.nhs.uk/services/gp-surgery/wimpole-road-surgery/F81042001
University Health Centre,https://www.nhs.uk/services/gp-surgery/university-health-centre/P87027001
Creffield Medical Group,https://www.nhs.uk/services/gp-surgery/creffield-medical-group/F81115
Shrub End Surgery,https://www.nhs.uk/services/gp-surgery/shrub-end-surgery/F81042002
Ambrose Avenue Group Practice,https://www.nhs.uk/services/gp-surgery/ambrose-avenue-group-practice/F81067
Withnell Health Centre,https://www.nhs.uk/services/gp-surgery/withnell-health-centre/P81010
Feniscowles Surgery,https://www.nhs.uk/services/gp-surgery/feniscowles-surgery/P81633001
Bentham Road Health Centre,https://www.nhs.uk/services/gp-surgery/bentham-road-health-centre/Y02657
Hollins Grove Surgery,https://www.nhs.uk/services/gp-surgery/hollins-grove-surgery/P81721
Lakeside Medical,https://www.nhs.uk/services/gp-surgery/the-lakeside-surgery/N81108
Abbey Wood Surgery,https://www.nhs.uk/services/gp-surgery/abbey-wood-surgery/G83031
Abbeyslade Pms (Dr Chand),https://www.nhs.uk/services/gp-surgery/abbeyslade-pms-dr-chand/G83631
Morton Surgery,https://www.nhs.uk/services/gp-surgery/morton-surgery/A82654001
Eden Medical Group,https://www.nhs.uk/services/gp-surgery/eden-medical-group/A82020
Nuffield House Health Centre,https://www.nhs.uk/services/gp-surgery/nuffield-house-health-centre/F81120
Sydenham House Surgery,https://www.nhs.uk/services/gp-surgery/sydenham-house-medical-centre/G82050/how-to-register
West Mersea Surgery,https://www.nhs.uk/services/gp-surgery/west-mersea-surgery/F81012
Darwen Healthlink,https://www.nhs.uk/services/gp-surgery/darwen-healthlink/P81140
Darwen Healthcare,https://www.nhs.uk/services/gp-surgery/darwen-healthcare/P81051
Witton Medical Centre,https://www.nhs.uk/services/gp-surgery/witton-medical-centre/P81022
Spring-Fenisco Healthlink,https://www.nhs.uk/services/gp-surgery/spring-fenisco-healthlink/P81633
Dr A Alam & Partner,https://www.nhs.uk/services/gp-surgery/dr-a-alam-and-partner/P81683001
Gallions Reach Health Centre,https://www.nhs.uk/services/gp-surgery/gallions-reach-health-centre/G83012
Bannockburn Surgery,https://www.nhs.uk/services/gp-surgery/bannockburn-surgery/G83654
Dr Mostafa M A,https://www.nhs.uk/services/gp-surgery/dr-mostafa-m-a/G83647001
Belvedere Medical Centre,https://www.nhs.uk/services/gp-surgery/belvedere-medical-centre/G83052
Mostafa Pms,https://www.nhs.uk/services/gp-surgery/mostafa-pms/G83647
Kidderminster Medical Centre,https://www.nhs.uk/services/gp-surgery/kidderminster-medical-centre/M81010
Stanmore House Surgery,https://www.nhs.uk/services/gp-surgery/stanmore-house-surgery/M81015
Wolverley Surgery,https://www.nhs.uk/services/gp-surgery/wolverley-surgery/M81608
Carterknowle And Dore Medical Practice,https://www.nhs.uk/services/gp-surgery/carterknowle-and-dore-medical-practice/C88016001
Avenue Medical Practice,https://www.nhs.uk/services/gp-surgery/the-avenue-medical-centre/P84049
