gp,nhs_url,url
Regency Road Surgery,https://www.nhs.uk/services/gp-surgery/regency-road-surgery/C82038001,https://www.lhmp.co.uk
Latham House Medical Practice,https://www.nhs.uk/services/gp-surgery/latham-house-medical-practice/C82038,http://www.lhmp.co.uk
Long Clawson Medical Practice,https://www.nhs.uk/services/gp-surgery/long-clawson-medical-practice/C82016,https://www.valemedicalgroup.co.uk
Cropwell Bishop Surgery,https://www.nhs.uk/services/gp-surgery/cropwell-bishop-surgery/C84017003,https://www.belvoirhealthgroup.co.uk
The Welby Practice (Waltham),https://www.nhs.uk/services/gp-surgery/the-welby-practice-waltham/C82076002,http://www.thewelbypractice.co.uk
Dr MK Lakhani's Practice,https://www.nhs.uk/services/gp-surgery/dr-mk-lakhani-s-practice/C82644,http://www.highgatemedicalcentre.co.uk
The Banks Surgery,https://www.nhs.uk/services/gp-surgery/the-banks-surgery/C82600,http://www.thebankssurgery.co.uk/
Cotgrave Surgery,https://www.nhs.uk/services/gp-surgery/cotgrave-surgery/C84017001,https://www.belvoirhealthgroup.co.uk
Stackyard and Woolsthorpe Surgery,https://www.nhs.uk/services/gp-surgery/stackyard-and-woolsthorpe-surgery/C83653,https://www.valemedicalgroup.co.uk/
Keyworth Medical Practice,https://www.nhs.uk/services/gp-surgery/keyworth-medical-practice/L7T0M,notfound
Great Witley Surgery,https://www.nhs.uk/services/gp-surgery/great-witley-surgery/M81033,https://www.greatwitleysurgery.nhs.uk
The Village Hall,https://www.nhs.uk/services/gp-surgery/the-village-hall/M81045001,notfound
Stourport Medical Centre,https://www.nhs.uk/services/gp-surgery/stourport-medical-centre/M81040,https://www.stourportmc.co.uk/
Martley Surgery,https://www.nhs.uk/services/gp-surgery/martley-surgery/M81033001,notfound
Bewdley Medical Centre,https://www.nhs.uk/services/gp-surgery/bewdley-medical-centre/M81057,https://www.bewdleymedicalcentre.nhs.uk/
Ombersley Medical Centre,https://www.nhs.uk/services/gp-surgery/ombersley-medical-centre/M81011,http://www.ombersleymedicalcentre.co.uk
Cleobury Mortimer Surgery,https://www.nhs.uk/services/gp-surgery/cleobury-mortimer-surgery/M82041,https://cleoburymortimermc.co.uk/
Northumberland House Surgery,https://www.nhs.uk/services/gp-surgery/northumberland-house-surgery/M81005,http://www.northumberlandhousesurgery.co.uk
Grey Gable Surgery,https://www.nhs.uk/services/gp-surgery/grey-gable-surgery/Y03602,http://www.greygablesurgery.com
Merstow Green Medical Practice,https://www.nhs.uk/services/gp-surgery/merstow-green-medical-practice/M81058,http://www.merstowgreenmedicalpractice.co.uk/
Aylmer Lodge Cookley Partnership,https://www.nhs.uk/services/gp-surgery/aylmer-lodge-cookley-partnership/M81068,http://www.aylmerlodgecookleypartnership.co.uk
Abbey Grange Medical Practice,https://www.nhs.uk/services/gp-surgery/abbey-grange-medical-practice/B86068,https://www.abbeygrangemedicalpractice.co.uk
Knightwick Surgery,https://www.nhs.uk/services/gp-surgery/knightwick-surgery/M81045,http://www.knightwicksurgery.co.uk
Demontfort Medical Centre,https://www.nhs.uk/services/gp-surgery/demontfort-medical-centre/M81627,notfound
Pershore Medical Practice,https://www.nhs.uk/services/gp-surgery/pershore-medical-practice/M81074,http://www.pershoremedicalpractice.co.uk
Riverside Surgery,https://www.nhs.uk/services/gp-surgery/riverside-surgery/N85016,https://riversidesurgerywirral.nhs.uk/
Abbottswood Medical Centre,https://www.nhs.uk/services/gp-surgery/abbottswood-medical-centre/M81046,http://www.abbottswoodmedicalcentre.co.uk
Feckenham Surgery,https://www.nhs.uk/services/gp-surgery/feckenham-surgery/M81077001,notfound
Templecombe Surgery,https://www.nhs.uk/services/gp-surgery/templecombe-surgery/L85031001,http://www.milborneportsurgery.nhs.uk
Milborne Port Surgery,https://www.nhs.uk/services/gp-surgery/milborne-port-surgery/L85031,http://www.milborneportsurgery.nhs.uk
