locname,GPs
Zennor,"Stennack Surgery,Atlantic Medical Group,Rosmellyn Surgery,Sunnyside Surgery,Morrab Surgery,Pendeen Surgery,Newlyn Surgery,Marazion Surgery,Bodriggy Health Centre,Cape Cornwall Surgery"
Zeals,"Silton Surgery,Mere Surgery,Peacemarsh Surgery,Gillingham Medical Practice,Wincanton Health Centre,Bruton Surgery,Templecombe Surgery,The Blackmore Vale Partnership,The Blackmore Vale Partnership,Hindon Surgery"
Zouch,"Cross Street Surgery,Sutton Bonington Branch,Dishley Grange Medical Practice,Loughborough Urgent Care Centre,Orchard Surgery,Charnwood Medical Group,Woodbrook Medical Centre,Bridge Street Medical Practice,Forest Edge Medical Centre,Field Street Surgery"
Zelah,"Perranporth Surgery,Cornwall Health For Homeless,Lander Medical Practice,Three Spires Medical Practice,Threemilestone Surgery,Summercourt,St. Agnes Surgery,Chacewater Health Centre,Newquay Health Centre,Probus Surgery"
Zeal Monachorum,"Bow Medical Practice,North Tawton Medical Practice,Morchard Bishop Surgery,Winkleigh Surgery,Wallingbrook Health Centre,Cheriton Bishop Surgery,Redlands Primary Care,Mid Devon Medical Practice,OKEHAMPTON MEDICAL CENTRE,Cheriton Fitzpaine Surgery"
Zennor,"Connor Downs Surgery,Godolphin Health,Veor Surgery Admin Hub,Carn to Coast Health Centres - Trevithick Surgery,Veor Surgery,Carn to Coast Health Centres,Porthleven Surgery,Harris Memorial Surgery,Carn To Coast Health Centres - Homecroft Surgery ,Meneage Street Surgery"
Zeals,"Millbrook Surgery, Castle Cary,Evercreech Surgery,Avenue Surgery,Tisbury Surgery,Milborne Port Surgery,The Blackmore Vale Partnership,Fromefield Surgery,Frome Medical Centre,Blackmore Vale Partnership,Child Okeford Surgery"
Zelah,"Narrowcliff Surgery,Mount Hawke Surgery,Carnon Downs Surgery,Carn to Coast Health Centres - St Day Surgery,St Columb Road Surgery,Mill Lane Surgery,Devoran Surgery ,Tregony Surgery,Brannel Surgery,Roseland Parc Surgery"
Zouch,"Campus View Medical Centre,Forest House Surgery,Pinfold Medical Practice,Park View Surgery,East Leake,Village Health Group,Beaumont Road Surgery,Manor House Surgery,CASTLE DONINGTON SURGERY,Village Hall Surgery"
Zeal Monachorum,"Chagford Health Centre,Hatherleigh Medical Centre,Moretonhampstead Health Centre,Old Stable Surgery,Redlands Primary Care – Thorverton,Exwick Health Centre,Foxhayes Practice,Christow Surgery,South Molton Medical Centre,Student Health Centre"
Zeals,"Park Medical Practice,Mendip Country Practice,Queen Camel Medical Centre,The Grove Medical Centre,The Apples Medical Centre,Westbury Group Practice,Beckington Family Practice,Grove House Surgery,Cherry Orchard Surgery,Sherborne School Health Centre"
Zennor,"Helston Medical Centre,Redruth Health Centre,Leatside Health Centre,Lanner Surgery,Mount Hawke Surgery,Carn to Coast Health Centres - St Day Surgery,The Penryn Surgery,St. Agnes Surgery,Constantine Surgery,The Mullion & Constantine Group Practice"
Zouch,"Quorn Medical Centre,Dr Sjc Clay's Practice,Barrow Health Centre,Sawley Branch Surgery,Dr AM Lewis' Practice,Whitwick Health Centre,The Moir Medical Centre,West Park Surgery,The Aitune Medical Practice,Chilwell Meadows Surgery"
Zelah,"Petroc Group Practice,Lanner Surgery,Redruth Health Centre,Leatside Health Centre,The Clays Practice,Mylor Surgery,St Austell Healthcare - Foxhole,Carn To Coast Health Centres - Homecroft Surgery ,Harris Memorial Surgery,The Penryn Surgery"
Zeals,"Oakhill Surgery,The Spring Orchard Surgery,Chilcompton Branch Surgery,Westfield Surgery,Bratton Surgery,Hope House Surgery,St Chads Surgery,Somerton House Surgery,Oaklands Surgery,Sixpenny Handley Surgery"
Zeal Monachorum,"St Thomas Medical Group,Clock Tower Surgery,St Leonards Practice,Mount Pleasant Health Centre,Southernhay House Surgery,BARNFIELD HILL SURGERY,Wyndham House Surgery,Isca Medical Practice,Ide Lane Surgery,Heavitree Practice"
Zouch,"College Street Medical Practice,Aston Surgery,Broom Leys Surgery,Overdale Medical Practice,Toton Branch Surgery,Country House,Alpine House Surgery,Church House Surgery,The Surgery,Dr NR Pulman's Practice"
Zennor,"Chacewater Health Centre,Hendra,Threemilestone Surgery,Penryn Surgery,The Penryn Surgery,Perranporth Surgery,Devoran Surgery ,Carnon Downs Surgery,Falmouth Health Centre,Trescobeas Surgery"
Zeals,"Hillcrest Surgery,Broadchalke Surgery,Trowbridge Health Centre at Wingfield Road,Millfield Prep School,Elm Hayes Surgery,Nhs Yeovil Health Centre,Ryalls Park Medical Centre, Yeovil,The Blandford Group Practice,Wells City Practice,Wells Health Centre"
Zelah,"Carn to Coast Health Centres,Hendra,Penryn Surgery,Roseland Surgeries,Falmouth Health Centre,Trescobeas Surgery,St Mawes Surgery,Woodlane Surgery,Clays Practice,Westover Surgery"
Zeal Monachorum,"South Lawn Medical Practice,Black Torrington Surgery,Whipton Branch Surgery,Castle Place Practice,Amicus Health,Whipton Surgery,WONFORD GREEN SURGERY,Hill Barton Surgery,Pinhoe Surgery,Topsham Surgery at Sclns"
Zouch,"The Ruddington Med Centre,Charnwood Surgery,John Ryle Medical Practice,Clifton Medical Practice,Melbourne & Chellaston Medical Practice,Rivergreen Medical Centre,Sunrise Medical Practice,The Banks Surgery,Keyworth Medical Practice,Dr MK Lakhani's Practice"
Zeals,"The Ilchester Surgery,Lovemead Group Practice,Penn Hill Surgery, Yeovil,Winterbourne Stickland,Diamond Health Group,Trowbridge Health Centre,Preston Grove Medical Centre, Yeovil,Yetminster Medical Centre,Abbey Manor Medical Practice,Glastonbury Health Centre"
Zennor,"Mylor Surgery,Dr Dorrell & partners,Westover Surgery,Woodlane Surgery,Dr Dorrell & partners,Three Spires Medical Practice,Lander Medical Practice,Cornwall Health For Homeless,ST KEVERNE HEALTH CENTRE,St Mawes Surgery"
Zelah,"St Austell Healthcare - Park,Carn to Coast Health Centres - Trevithick Surgery,Veor Surgery,Veor Surgery Admin Hub,St Austell Healthcare - Carlyon Road Health Hub,The Clays Practice,Mevagissey Surgery,St Austell Health Group,St Merryn Surgery,The Penryn Surgery"
Zouch,"Chilwell Valley and Meadows Practice,Hugglescote Surgery,Adam House Medical Centre,Markfield Medical Centre,The Manor Surgery,The Oaks Medical Centre,Saxon Cross Surgery,The Linden Medical Group,HILLSIDE MEDICAL CENTRE,Lister House Chellaston"
Zennor,"Newquay Health Centre,Narrowcliff Surgery"
Zeal Monachorum,"Castle Gardens Surgery,TORRINGTON HEALTH CENTRE,Blundells School,Glasshouse Medical Centre,Bovey Tracey & Chudleigh Practice,Broadclyst Surgery,Westbank Practice - Exminster Surgery,Westbank Practice,Bradninch Surgery,Tower House Surgery"
Zeals,"Millfield Senior School,Buttercross Health Centre,St. Mary's Surgery,Glastonbury Surgery,Bradford-on-Avon and Melksham Health,St Margaret's Surgery,Milton Abbas Surgery,Winsley / Tyning Road Branch Surgery,Vine Surgery Partnership,Combe Down Branch Surgery"
Zouch,"Abbey Medical Centre,The Park Medical Practice ,Bramcote Surgery,Hickings Lane Medical Ctr,Overdale Medical Practice,Chellaston Medical Centre,Dr NW Osborne's Practice,Alvaston Medical Centre,Heatherbrook,Beaumont Lodge Medical Practice"
Zelah,"Godolphin Health,Constantine Surgery,Connor Downs Surgery,Petroc Group Practice,Middleway Surgery,Par Health Centre,Wadebridge & Camel Estuary Practice,Port Isaac Practice,Bodriggy Health Centre,Helston Medical Centre"
Zeal Monachorum,"The Health Centre (Chudleigh),TOPSHAM SURGERY,Cranbrook Medical Practice,Amicus Health - Bampton Surgery,College Surgery Partnership,Bramblehaies Surgery,Ilford Park Polish Home,Exmoor Medical Centre,Litchdon Medical Centre,Princetown Surgery"
Zouch,"Musters Medical Practice,Castle Healthcare Practice,The University of Nottingham Health Service - Comcov3 Covid19 Trials,The Univ of Nottingham Health Serv,University of Nottingham Health Service - Az8216 Covid19 Trials,University of Nottingham Health Service - Oxford Covid19 Trials,West Bridgford Medical Centre,Groby surgery,Parkfields Surgery,Deer Park Family Medical Practice"
Zeals,"Cameley Surgery,Combe Down Surgery,Courtyard Surgery,The Till Orchard Surgery, High Street,The Orchard Partnership,Winterbourne Whitechurch,Rush Hill Surgery,West Coker Surgery,Cerne Abbas Surgery,Beehive Surgery"
Zelah,"Meneage Street Surgery,Dr LUNNY & partners,Bosvena Health,Bosvena Health,Lostwithiel Surgery,ST KEVERNE HEALTH CENTRE,Porthleven Surgery,Fowey River Practice,Polruan Surgery,Stennack Surgery"
Zeal Monachorum,"Willand Surgery,Brannam Medical Centre,Sampford Peverell Surgery,Queen's Medical Centre,Coleridge Medical Centre Sandfords Surgery,Underhill Surgery,Ashburton Surgery,Woodbury Surgery,Kingsteignton Medical Practice,Wooda Surgery"
Zouch,"St Georges Med Practice,Greengate Medical Centre,Lister House Chellaston,Derwent Valley Medical Practice (Branch Site),Chapel Street Medical Centre,The Gamston Medical Ctr.,Ibstock House Surgery,The Jubilee Medical Practice,The County Practice,Bridgeway Practice"
Zeals,"Widcombe Surgery,Junction Road Surgery,Heart of Bath,University Medical Centre,Market Lavington Surgery,The Cranborne Practice,Harptree Surgery,The Pulteney Practice,St. Michael's Surgery,Hamdon Medical Centre, Stoke-Sub-Hamdon"
Zelah,"Port Isaac Practice,Port Isaac Surgery,Marazion Surgery,The Mullion & Constantine Group Practice,Blisland Village Hall,Dr Dorrell & partners,Dr NASH & partner,Pelynt Surgery,Polperro Surgery,Morrab Surgery"
Zeal Monachorum,"Fremington Medical Centre,Bideford Medical Centre,Cricketfield Surgery,Devon Square Surgery,Bishopsteignton Surgery,Albany Surgery,Uffculme Surgery,Buckland Surgery,The Warren Surgery,Barton Surgery"
Zouch,"Meadows Health Centre (Larner),Wollaton Park Medical Centre,Birstall Medical Centre,Derby Road Health Centre,The Glenfield Surgery,Border Drive Surgery,Castle Medical Group,The Practice Beaumont Leys,Grange Farm Medical Centre,Beaumont Lodge Medical Practice"
Zeals,"St. Damian's Surgery,Milborne St Andrew Surgery,Bemerton Heath Surgery,Church Street Surgery, Martock,Evershot Surgery,Giffords Primary Care Ctr,Spa Medical Centre,St.James's Surgery,Newbridge Surgery,The Pulteney Practice"
Zelah,"Rosmellyn Surgery,Sunnyside Surgery,Atlantic Medical Group,Dr Dorrell & partners,Dr NASH & partner,Dr LUNNY & partners,Newlyn Surgery,Medical Centre Camelford (Dr Nash),Tintagel Medical Centre,Bottreaux Surgery"
Zeal Monachorum,"Haldon House Surgery,Imperial Surgery,Northam Surgery,Ruby Country Medical Group,Claremont Medical Practice,Rolle Medical Partnership,Kingsdown Clinic,Treetops Surgery,Lifton Surgery,Tavyside Health Centre"
Zouch,"Kirk Hallam Surgery,Bilborough Medical Centre,St. Luke's Surgery,Radford Medical Practice (Kaur),Sunrise Medical Practice (Ghattaora),Jrb Healthcare Beechdale Surgery,Manor Medical Centre,Thurmaston Health Centre,Eden Surgery,Ratby Surgery"
Zeal Monachorum,"Buckfastleigh Medical Centre,Abbey Surgery,Riverside Surgery,Teign Estuary Medical Group,The Den Site,Channel View Medical Group,Coleridge Medical Centre,St. Andrews Medical Centre,Kingskerswell & Ipplepen Med Practice,Bicton College of Agriculture"
Zeals,"Weston Surgery,Weston Surgery,Fairfield Park Health Centre,Salisbury Medical Practice,Batheaston Medical Centre,Harcourt Medical Centre,Langport Surgery,Sarum Health Group,Market Lavington Surgery,Three Chequers Medical Practice"
Zouch,"Parliament Street Medical Centre,Parker Drive Surgery,The Windmill Practice,Sinfin Moor Health Centre,Dr Kaur K & Partners - Student Health Centre,Silverdale Medical Centre,The Parks Medical Centre (B Hainsworth),Littlewick Medical Centre,Victoria and Mapperley Practice,The Park Medical Practice"
Zeal Monachorum,"Caen Medical Centre,Bradworthy Surgery,Yelverton Surgery,Budleigh Salterton Medical Practice,Brunel Medical Practice (Shiphay),Chelston Hall Surgery (Barton),Gunnislake Health Centre,Brunel Medical Practice (St Marychurch),Chilcote Surgery,Chilcote Practice"
Zeals,"Three Swans Surgery (Three Chequers Medical Practice),Dr Garrett T & Partners,South Petherton Surgery,Larkhill Medical Centre,Larkhill Medical Centre,St Ann Street Surgery (Three Chequers Medical Practice),Chew Medical Practice,Box Surgery,Lansdowne Surgery,Bishopdown Surgery"
Zouch,"The Forest Practice,Highgreen Practice (Khan),Fairfields Practice,Dr Webb And Partners,Gladstone House Surgery,Lister House Surgery,St Thomas Road Surgery,Cotgrave Surgery,Rushey Mead Health Centre,Oakmeadow Surgery (GJ Ingrams)"
Zeal Monachorum,"Launceston Medical Centre,Lister House Partnership,Brunel Medical Practice,Southover Medical Practice,Chelston Hall Surgery,Croft Hall Medical Practice,Pembroke Medical Group - Parkhill Surgery,Bere Alston Surgery,The Medical Centre Woolacombe,Tamar Valley Health"
Zeals,"Bere Regis Surgery,Southbroom Surgery,Puddletown Surgery,St. James Surgery,The Verwood Surgery,Wedmore Surgery,Ammonite Health Partnership (Maiden Newton),Temple House Practice,Cheddar Medical Centre,Walford Mill Medical Centre"
Zeal Monachorum,West Somerset Healthcare
Zouch,"Broad Oak Medical Practice,Osmaston Surgery,VILLAGE SURGERY,Peartree Medical Centre,Greenfields Medical Centre (Yvs Rao),Aspley Medical Centre,Family Medical Centre (Sood),Derby Urgent Treatment Centre,Colwell Road Surgery,Greendale Primary Care Centre"
Zeals,"Severn Way Surgery,West View Surgery,Barcroft Medical Centre,St Melor House Surgery,The Old Dispensary,Cranborne Practice,Alderholt Branch Surgery,Lake Road Surgery,Quarterjack Surgery,Firs Surgery"
Zouch,"Broadhurst St Med Pract (Ks Morjaria),Loughborough Road - Branch Surgery,The Wellspring Surgery,Groby Road Medical Centre (ID Patchett),Mayfield Road Surgery,Derby Family medical centre,Westfields Surgery,East Park Medical Centre Branch,Oakwood Surgery,West Hallam Medical Ctr"
Zeals,"The Three Shires Medical Practice - Colerne,St. Augustines Surgery,Porch Surgery,Stockwood Medical Centre,Polden Medical Practice,Cross Plain Surgery,Durrington Surgery,West One Surgery,Fordingbridge Surgery,Crewkerne Health Centre, Crewkerne"
